Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1944-01-01 - 2025-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Monatsmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1952-12-01 00:00:00;1952-12-01 12:00:00;3.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-01-01 00:00:00;1953-01-02 12:00:00;0.240;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-02-01 00:00:00;1953-02-03 12:00:00;0.190;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-03-01 00:00:00;1953-03-30 12:00:00;0.700;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-04-01 00:00:00;1953-04-04 12:00:00;1.900;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-05-01 00:00:00;1953-05-28 12:00:00;8.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-06-01 00:00:00;1953-06-26 12:00:00;11.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-07-01 00:00:00;1953-07-18 12:00:00;13.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-08-01 00:00:00;1953-08-02 12:00:00;11.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-09-01 00:00:00;1953-09-28 12:00:00;6.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-10-01 00:00:00;1953-10-19 12:00:00;2.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-11-01 00:00:00;1953-11-04 12:00:00;0.640;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1953-12-01 00:00:00;1953-12-01 12:00:00;0.360;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-01-01 00:00:00;1954-01-17 12:00:00;0.320;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-02-01 00:00:00;1954-02-01 12:00:00;0.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-03-01 00:00:00;1954-03-31 12:00:00;0.520;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-04-01 00:00:00;1954-04-05 12:00:00;1.300;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-05-01 00:00:00;1954-05-17 12:00:00;3.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-06-01 00:00:00;1954-06-27 12:00:00;11.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-07-01 00:00:00;1954-07-01 12:00:00;9.100;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-08-01 00:00:00;1954-08-04 12:00:00;18.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-09-01 00:00:00;1954-09-15 12:00:00;8.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-10-01 00:00:00;1954-10-27 12:00:00;7.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-11-01 00:00:00;1954-11-01 12:00:00;1.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1954-12-01 00:00:00;1954-12-01 12:00:00;0.800;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-01-01 00:00:00;1955-01-13 12:00:00;2.100;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-02-01 00:00:00;1955-02-09 12:00:00;1.700;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-03-01 00:00:00;1955-03-27 12:00:00;1.900;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-04-01 00:00:00;1955-04-30 12:00:00;2.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-05-01 00:00:00;1955-05-07 12:00:00;3.100;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-06-01 00:00:00;1955-06-07 12:00:00;9.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-07-01 00:00:00;1955-07-21 12:00:00;16.500;Freigegeben, validierte Daten
