;DOY;DATE;Q_glacier(m3/s);Q_lake(m3/s);Q_lake_offgl(m3/s);cumQ_lake(m3);cumQ_lake_offgl(m3);Vlake_meas(m3)
;211;2019,5781;2,3873;0,4998;0,1999;3460824;1400622;0
;212;2019,5808;1,8729;0,3809;0,1497;3493732;1413555;0
;213;2019,5836;2,7013;0,5649;0,2293;3542541;1433364;0
;214;2019,5863;2,1231;0,4352;0,1747;3580145;1448457;0
;215;2019,5890;2,1531;0,4394;0,1711;3618108;1463239;0
;216;2019,5918;2,7371;0,5853;0,2189;3668676;1482149;0
;217;2019,5945;3,5419;0,7742;0,2794;3735567;1506285;0
;218;2019,5973;6,4001;1,4239;0,5583;3858594;1554522;0
;219;2019,6000;4,1198;0,8865;0,3385;3935189;1583771;0
;220;2019,6028;3,0326;0,6012;0,1839;3987131;1599656;0
;221;2019,6055;6,7969;1,3628;0,4634;4104878;1639696;0
;222;2019,6083;4,4047;0,8139;0,2440;4175202;1660776;0
;223;2019,6110;9,8283;2,0488;0,7796;4352216;1728135;0
;224;2019,6136;3,4860;0,6656;0,2228;4409726;1747383;0
;225;2019,6165;1,3543;0,2060;0,0412;4427522;1750941;0
;226;2019,6191;1,5840;0,2470;0,0515;4448862;1755388;0
;227;2019,6219;2,5939;0,4286;0,0975;4485889;1763809;0
;228;2019,6246;2,4095;0,3897;0,0849;4519555;1771144;0
;229;2019,6274;4,3331;0,7278;0,1672;4582438;1785591;0
;230;2019,6301;11,1045;2,2054;0,7724;4772985;1852324;0
;231;2019,6329;7,1399;1,4413;0,5298;4897515;1898102;0
;232;2019,6356;6,2282;1,1734;0,3865;4998894;1931497;0
;233;2019,6383;1,7908;0,2822;0,0605;5023275;1936724;0
;234;2019,6411;2,9538;0,4688;0,0914;5063776;1944624;0
;235;2019,6438;3,3297;0,5291;0,1012;5109494;1953365;0
;236;2019,6466;3,6113;0,5735;0,1074;5159042;1962641;0
;237;2019,6493;3,7140;0,5869;0,1067;5209749;1971861;0
;238;2019,6521;3,9870;0,6282;0,1108;5264023;1981432;0
;239;2019,6548;4,1256;0,6456;0,1092;5319804;1990863;0
;240;2019,6576;3,7932;0,5872;0,0948;5370540;1999052;0
;241;2019,6603;3,9717;0,6124;0,0957;5423452;2007317;0
;242;2019,6630;3,8939;0,5953;0,0884;5474889;2014951;0
;243;2019,6658;4,0965;0,6380;0,1043;5530009;2023963;0
;244;2019,6685;3,2644;0,5172;0,0961;5574696;2032267;449778
;245;2019,6713;1,9902;0,2850;0,0323;5599318;2035054;449778
;246;2019,6740;2,1719;0,3130;0,0354;5626363;2038117;449778
;247;2019,6768;2,8276;0,4159;0,0496;5662301;2042400;449778
;248;2019,6794;0,9310;0,1177;0,0075;5672470;2043044;449778
;249;2019,6823;0,0095;0,0000;0,0000;5672470;2043044;449778
