Date_Time;Lake Elevation
2019-06-22T23:50:00.0;2726.7
2019-06-23T00:00:00.0;2726.7
2019-06-23T00:10:00.0;2726.69
2019-06-23T00:20:00.0;2726.69
2019-06-23T00:30:00.0;2726.69
2019-06-23T00:40:00.0;2726.68
2019-06-23T00:50:00.0;2726.68
2019-06-23T01:00:00.0;2726.68
2019-06-23T01:10:00.0;2726.67
2019-06-23T01:20:00.0;2726.67
2019-06-23T01:30:00.0;2726.67
2019-06-23T01:40:00.0;2726.67
2019-06-23T01:50:00.0;2726.67
2019-06-23T02:00:00.0;2726.66
2019-06-23T02:10:00.0;2726.66
2019-06-23T02:20:00.0;2726.66
2019-06-23T02:30:00.0;2726.66
2019-06-23T02:40:00.0;2726.65
2019-06-23T02:50:00.0;2726.65
2019-06-23T03:00:00.0;2726.65
2019-06-23T03:10:00.0;2726.64
2019-06-23T03:20:00.0;2726.64
2019-06-23T03:30:00.0;2726.64
2019-06-23T03:40:00.0;2726.63
2019-06-23T03:50:00.0;2726.63
2019-06-23T04:00:00.0;2726.63
2019-06-23T04:10:00.0;2726.63
2019-06-23T04:20:00.0;2726.62
2019-06-23T04:30:00.0;2726.62
2019-06-23T04:40:00.0;2726.61
2019-06-23T04:50:00.0;2726.61
2019-06-23T05:00:00.0;2726.6
2019-06-23T05:10:00.0;2726.6
2019-06-23T05:20:00.0;2726.59
2019-06-23T05:30:00.0;2726.59
2019-06-23T05:40:00.0;2726.59
2019-06-23T05:50:00.0;2726.58
2019-06-23T06:00:00.0;2726.58
2019-06-23T06:10:00.0;2726.58
2019-06-23T06:20:00.0;2726.57
2019-06-23T06:30:00.0;2726.57
2019-06-23T06:40:00.0;2726.56
2019-06-23T06:50:00.0;2726.56
2019-06-23T07:00:00.0;2726.55
2019-06-23T07:10:00.0;2726.54
2019-06-23T07:20:00.0;2726.54
2019-06-23T07:30:00.0;2726.53
2019-06-23T07:40:00.0;2726.53
2019-06-23T07:50:00.0;2726.52
2019-06-23T08:00:00.0;2726.52
2019-06-23T08:10:00.0;2726.52
2019-06-23T08:20:00.0;2726.52
2019-06-23T08:30:00.0;2726.51
2019-06-23T08:40:00.0;2726.51
2019-06-23T08:50:00.0;2726.51
2019-06-23T09:00:00.0;2726.5
2019-06-23T09:10:00.0;2726.5
2019-06-23T09:20:00.0;2726.5
2019-06-23T09:30:00.0;2726.49
2019-06-23T09:40:00.0;2726.49
2019-06-23T09:50:00.0;2726.48
2019-06-23T10:00:00.0;2726.48
2019-06-23T10:10:00.0;2726.48
2019-06-23T10:20:00.0;2726.47
2019-06-23T10:30:00.0;2726.47
2019-06-23T10:40:00.0;2726.47
2019-06-23T10:50:00.0;2726.46
2019-06-23T11:00:00.0;2726.46
2019-06-23T11:10:00.0;2726.45
2019-06-23T11:20:00.0;2726.45
2019-06-23T11:30:00.0;2726.45
2019-06-23T11:40:00.0;2726.44
2019-06-23T11:50:00.0;2726.44
2019-06-23T12:00:00.0;2726.43
2019-06-23T12:10:00.0;2726.43
2019-06-23T12:20:00.0;2726.43
2019-06-23T12:30:00.0;2726.42
2019-06-23T12:40:00.0;2726.42
2019-06-23T12:50:00.0;2726.42
2019-06-23T13:00:00.0;2726.42
2019-06-23T13:10:00.0;2726.42
2019-06-23T13:20:00.0;2726.42
2019-06-23T13:30:00.0;2726.42
2019-06-23T13:40:00.0;2726.42
2019-06-23T13:50:00.0;2726.42
2019-06-23T14:00:00.0;2726.42
2019-06-23T14:10:00.0;2726.42
2019-06-23T14:20:00.0;2726.41
2019-06-23T14:30:00.0;2726.41
2019-06-23T14:40:00.0;2726.41
